Date;Country;Region;Export;Import
08/2023;Bru-nây;ASEAN;3,706.87;17,139.91
09/2023;Bru-nây;ASEAN;11,154.49;29,835.58
10/2023;Bru-nây;ASEAN;4,536.85;21,369.94
11/2023;Bru-nây;ASEAN;1,990.51;11,307.98
12/2023;Bru-nây;ASEAN;1,695.34;17,145.81
01/2024;Bru-nây;ASEAN;1,300.98;24,266.74
02/2024;Bru-nây;ASEAN;12,742.47;59,687.93
03/2024;Bru-nây;ASEAN;1,418.13;19,513.06
04/2024;Bru-nây;ASEAN;53,028.87;9,398.65
05/2024;Bru-nây;ASEAN;621.91;61,637.38
06/2024;Bru-nây;ASEAN;1,325.57;86,227.25
07/2024;Bru-nây;ASEAN;1,003.25;34,476.88
08/2024;Bru-nây;ASEAN;16,307.01;41,612.18
09/2024;Bru-nây;ASEAN;25,557.39;85,919.74
10/2024;Bru-nây;ASEAN;2,498.40;10,780.03
11/2024;Bru-nây;ASEAN;1,459.69;56,251.73
12/2024;Bru-nây;ASEAN;27,249.90;37,094.77
01/2025;Bru-nây;ASEAN;657.67;28,289.49
02/2025;Bru-nây;ASEAN;25,114.25;20,066.22
03/2025;Bru-nây;ASEAN;996.72;83,703.84
04/2025;Bru-nây;ASEAN;1,465.21;29,742.52
05/2025;Bru-nây;ASEAN;21,821.70;33,560.90
06/2025;Bru-nây;ASEAN;1,043.79;33,293.76
07/2025;Bru-nây;ASEAN;49,198.54;16,374.42
08/2025;Bru-nây;ASEAN;1,751.54;45,847.25
09/2025;Bru-nây;ASEAN;1,242.69;25,609.35
10/2025;Bru-nây;ASEAN;46,154.87;44,491.89
11/2025;Bru-nây;ASEAN;16,859.87;66,048.21
01/2019;Bun-ga-ri;EU;5,350.48;3,151.34
02/2019;Bun-ga-ri;EU;2,919.40;3,654.93
03/2019;Bun-ga-ri;EU;3,682.04;3,203.78
04/2019;Bun-ga-ri;EU;2,921.00;2,193.71
05/2019;Bun-ga-ri;EU;5,693.12;5,457.44
06/2019;Bun-ga-ri;EU;6,260.89;4,023.09
07/2019;Bun-ga-ri;EU;7,495.80;6,151.00
08/2019;Bun-ga-ri;EU;4,429.60;5,757.18
09/2019;Bun-ga-ri;EU;5,310.09;3,362.32
10/2019;Bun-ga-ri;EU;4,411.51;3,814.63
11/2019;Bun-ga-ri;EU;4,772.45;4,276.35
12/2019;Bun-ga-ri;EU;5,150.73;4,729.64
01/2020;Bun-ga-ri;EU;4,279.09;9,481.15
02/2020;Bun-ga-ri;EU;3,959.43;4,103.85
